modelo,tipoVectorizacion,ngram_range,parametros,normalizacionTexto,metodoBalanceo,reporte,accuracy,f1_macro,precision_macro,recall_macro,f1_weighted,cv_score,cv_media,cv_desviacion,cv_accuracy,cv_precision,cv_recall
random_forest,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.47904191616766467, 'recall': 0.4, 'f1-score': 0.4359673024523161, 'support': 200.0}, 'No': {'precision': 0.774859287054409, 'recall': 0.826, 'f1-score': 0.7996127783155856, 'support': 500.0}, 'accuracy': 0.7042857142857143, 'macro avg': {'precision': 0.6269506016110369, 'recall': 0.613, 'f1-score': 0.6177900403839509, 'support': 700.0}, 'weighted avg': {'precision': 0.690340038229625, 'recall': 0.7042857142857143, 'f1-score': 0.6957140709260801, 'support': 700.0}}",0.7042857142857143,0.6177900403839509,0.6269506016110369,0.613,0.6957140709260801,[0.56991781 0.54007201 0.60638776 0.51762523 0.53249492],0.553299548227161,0.03154356406309587,0.7323809523809525,0.672788158272251,0.564751775128656
gradient_boosting,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.45789473684210524, 'recall': 0.435, 'f1-score': 0.4461538461538462, 'support': 200.0}, 'No': {'precision': 0.7784313725490196, 'recall': 0.794, 'f1-score': 0.7861386138613862, 'support': 500.0}, 'accuracy': 0.6914285714285714, 'macro avg': {'precision': 0.6181630546955624, 'recall': 0.6145, 'f1-score': 0.6161462300076161, 'support': 700.0}, 'weighted avg': {'precision': 0.6868494766327584, 'recall': 0.6914285714285714, 'f1-score': 0.689000108802089, 'support': 700.0}}",0.6914285714285714,0.6161462300076161,0.6181630546955624,0.6145,0.689000108802089,[0.52745648 0.47359626 0.50937951 0.48236965 0.51388889],0.5013381567227398,0.020168133375922066,0.7204761904761905,0.6373632044784483,0.5343487720669663
gradient_boosting,binaria,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.45789473684210524, 'recall': 0.435, 'f1-score': 0.4461538461538462, 'support': 200.0}, 'No': {'precision': 0.7784313725490196, 'recall': 0.794, 'f1-score': 0.7861386138613862, 'support': 500.0}, 'accuracy': 0.6914285714285714, 'macro avg': {'precision': 0.6181630546955624, 'recall': 0.6145, 'f1-score': 0.6161462300076161, 'support': 700.0}, 'weighted avg': {'precision': 0.6868494766327584, 'recall': 0.6914285714285714, 'f1-score': 0.689000108802089, 'support': 700.0}}",0.6914285714285714,0.6161462300076161,0.6181630546955624,0.6145,0.689000108802089,[0.52587095 0.49568448 0.49712644 0.47868516 0.51916624],0.5033066532782936,0.017106635268492,0.7219047619047619,0.6495943051107471,0.5358465572275422
random_forest,frecuencia,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.4759036144578313, 'recall': 0.395, 'f1-score': 0.43169398907103823, 'support': 200.0}, 'No': {'precision': 0.7734082397003745, 'recall': 0.826, 'f1-score': 0.7988394584139265, 'support': 500.0}, 'accuracy': 0.7028571428571428, 'macro avg': {'precision': 0.6246559270791029, 'recall': 0.6105, 'f1-score': 0.6152667237424824, 'support': 700.0}, 'weighted avg': {'precision': 0.6884069182025051, 'recall': 0.7028571428571428, 'f1-score': 0.6939407528873869, 'support': 700.0}}",0.7028571428571428,0.6152667237424824,0.6246559270791029,0.6105,0.6939407528873869,[0.55362319 0.49855023 0.51762523 0.5014154  0.54069677],0.5223821625117685,0.021640799857658894,0.7261904761904763,0.6587323180521736,0.5464000065142336
logistic_regression,svd,"(1, 1)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.4172661870503597, 'recall': 0.58, 'f1-score': 0.48535564853556484, 'support': 200.0}, 'No': {'precision': 0.8009478672985783, 'recall': 0.676, 'f1-score': 0.7331887201735358, 'support': 500.0}, 'accuracy': 0.6485714285714286, 'macro avg': {'precision': 0.609107027174469, 'recall': 0.628, 'f1-score': 0.6092721843545503, 'support': 700.0}, 'weighted avg': {'precision': 0.6913245300848015, 'recall': 0.6485714285714286, 'f1-score': 0.6623792711341155, 'support': 700.0}}",0.6485714285714286,0.6092721843545503,0.609107027174469,0.628,0.6623792711341155,[0.4332755  0.46188051 0.45732239 0.44179131 0.44179131],0.44721220718240273,0.010680625979241746,0.7185714285714286,0.6727218191172402,0.5118797798189043
svc,svd,"(1, 1)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.40714285714285714, 'recall': 0.57, 'f1-score': 0.475, 'support': 200.0}, 'No': {'precision': 0.7952380952380952, 'recall': 0.668, 'f1-score': 0.7260869565217392, 'support': 500.0}, 'accuracy': 0.64, 'macro avg': {'precision': 0.6011904761904762, 'recall': 0.619, 'f1-score': 0.6005434782608696, 'support': 700.0}, 'weighted avg': {'precision': 0.6843537414965987, 'recall': 0.64, 'f1-score': 0.6543478260869565, 'support': 700.0}}",0.64,0.6005434782608696,0.6011904761904762,0.619,0.6543478260869565,[0.41666667 0.41666667 0.41666667 0.41747573 0.41747573],0.41699029126213594,0.00039635756355713023,0.7152380952380952,0.3576190476190476,0.5
gradient_boosting,tfidf,"(1, 1)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.40444444444444444, 'recall': 0.455, 'f1-score': 0.42823529411764705, 'support': 200.0}, 'No': {'precision': 0.7705263157894737, 'recall': 0.732, 'f1-score': 0.7507692307692307, 'support': 500.0}, 'accuracy': 0.6528571428571428, 'macro avg': {'precision': 0.587485380116959, 'recall': 0.5935, 'f1-score': 0.589502262443439, 'support': 700.0}, 'weighted avg': {'precision': 0.6659314954051797, 'recall': 0.6528571428571428, 'f1-score': 0.6586166774402068, 'support': 700.0}}",0.6528571428571428,0.589502262443439,0.587485380116959,0.5935,0.6586166774402068,[0.51819076 0.53717919 0.56091359 0.51651112 0.56268222],0.5390953722119274,0.019915305365454095,0.7214285714285714,0.6393647846954765,0.5531337697869845
naive_bayes,tfidf,"(2, 2)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.3409090909090909, 'recall': 0.675, 'f1-score': 0.45302013422818793, 'support': 200.0}, 'No': {'precision': 0.7861842105263158, 'recall': 0.478, 'f1-score': 0.5945273631840796, 'support': 500.0}, 'accuracy': 0.5342857142857143, 'macro avg': {'precision': 0.5635466507177034, 'recall': 0.5765, 'f1-score': 0.5237737487061338, 'support': 700.0}, 'weighted avg': {'precision': 0.6589627477785373, 'recall': 0.5342857142857143, 'f1-score': 0.5540967263395391, 'support': 700.0}}",0.5342857142857143,0.5237737487061338,0.5635466507177034,0.5765,0.5540967263395391,[0.45958042 0.42551064 0.4332755  0.43516592 0.44381022],0.43946854060579926,0.011619183505736637,0.720952380952381,0.826449330103556,0.5105350140056022
svc,tfidf,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.44285714285714284, 'recall': 0.155, 'f1-score': 0.22962962962962963, 'support': 200.0}, 'No': {'precision': 0.7317460317460317, 'recall': 0.922, 'f1-score': 0.815929203539823, 'support': 500.0}, 'accuracy': 0.7028571428571428, 'macro avg': {'precision': 0.5873015873015872, 'recall': 0.5385, 'f1-score': 0.5227794165847264, 'support': 700.0}, 'weighted avg': {'precision': 0.6492063492063491, 'recall': 0.7028571428571428, 'f1-score': 0.6484150395654821, 'support': 700.0}}",0.7028571428571428,0.5227794165847264,0.5873015873015872,0.5385,0.6484150395654821,[0.5072214  0.49991644 0.51164856 0.47740639 0.46847316],0.4929331895291832,0.016985630105769707,0.7271428571428572,0.6968890790912307,0.5334527718063969
logistic_regression,svd,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.3333333333333333, 'recall': 0.23, 'f1-score': 0.27218934911242604, 'support': 200.0}, 'No': {'precision': 0.7259786476868327, 'recall': 0.816, 'f1-score': 0.768361581920904, 'support': 500.0}, 'accuracy': 0.6485714285714286, 'macro avg': {'precision': 0.529655990510083, 'recall': 0.523, 'f1-score': 0.520275465516665, 'support': 700.0}, 'weighted avg': {'precision': 0.6137942721572615, 'recall': 0.6485714285714286, 'f1-score': 0.6265980868327674, 'support': 700.0}}",0.6485714285714286,0.520275465516665,0.529655990510083,0.523,0.6265980868327674,[0.45125248 0.41666667 0.42463126 0.43516592 0.43516592],0.4325764498373621,0.0116486219492501,0.719047619047619,0.7090941952784058,0.5071946778711485
svc,svd,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.40789473684210525, 'recall': 0.155, 'f1-score': 0.2246376811594203, 'support': 200.0}, 'No': {'precision': 0.7291666666666666, 'recall': 0.91, 'f1-score': 0.8096085409252669, 'support': 500.0}, 'accuracy': 0.6942857142857143, 'macro avg': {'precision': 0.5685307017543859, 'recall': 0.5325, 'f1-score': 0.5171231110423435, 'support': 700.0}, 'weighted avg': {'precision': 0.637374686716792, 'recall': 0.6942857142857143, 'f1-score': 0.6424740095635965, 'support': 700.0}}",0.6942857142857143,0.5171231110423435,0.5685307017543859,0.5325,0.6424740095635965,[0.45125248 0.41666667 0.42463126 0.43516592 0.43516592],0.4325764498373621,0.0116486219492501,0.719047619047619,0.7090941952784058,0.5071946778711485
naive_bayes,binaria,"(2, 2)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.32914572864321606, 'recall': 0.655, 'f1-score': 0.43812709030100333, 'support': 200.0}, 'No': {'precision': 0.7715231788079471, 'recall': 0.466, 'f1-score': 0.5810473815461347, 'support': 500.0}, 'accuracy': 0.52, 'macro avg': {'precision': 0.5503344537255815, 'recall': 0.5605, 'f1-score': 0.509587235923569, 'support': 700.0}, 'weighted avg': {'precision': 0.6451296216180239, 'recall': 0.52, 'f1-score': 0.5402130126189544, 'support': 700.0}}",0.52,0.509587235923569,0.5503344537255815,0.5605,0.5402130126189544,[0.54613095 0.5529658  0.57233095 0.53717919 0.56666285],0.5550539461222087,0.012936372936349472,0.7180952380952381,0.6286324685877339,0.561860530258615
naive_bayes,frecuencia,"(2, 2)",{},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.3283208020050125, 'recall': 0.655, 'f1-score': 0.4373956594323873, 'support': 200.0}, 'No': {'precision': 0.770764119601329, 'recall': 0.464, 'f1-score': 0.5792759051186017, 'support': 500.0}, 'accuracy': 0.5185714285714286, 'macro avg': {'precision': 0.5495424608031707, 'recall': 0.5595, 'f1-score': 0.5083357822754945, 'support': 700.0}, 'weighted avg': {'precision': 0.6443517431452386, 'recall': 0.5185714285714286, 'f1-score': 0.5387386920653976, 'support': 700.0}}",0.5185714285714286,0.5083357822754945,0.5495424608031707,0.5595,0.5387386920653976,[0.54953345 0.54538895 0.56686397 0.54617239 0.58682821],0.5589573905487726,0.015972890377130573,0.719047619047619,0.6304755573245432,0.5645725359911407
logistic_regression,tfidf,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.4166666666666667, 'recall': 0.125, 'f1-score': 0.19230769230769232, 'support': 200.0}, 'No': {'precision': 0.7265625, 'recall': 0.93, 'f1-score': 0.8157894736842105, 'support': 500.0}, 'accuracy': 0.7, 'macro avg': {'precision': 0.5716145833333334, 'recall': 0.5275000000000001, 'f1-score': 0.5040485829959515, 'support': 700.0}, 'weighted avg': {'precision': 0.6380208333333334, 'recall': 0.7, 'f1-score': 0.6376518218623481, 'support': 700.0}}",0.7,0.5040485829959515,0.5716145833333334,0.5275000000000001,0.6376518218623481,[0.45125248 0.42551064 0.42463126 0.43516592 0.43516592],0.43434524411469094,0.009587630533497767,0.7195238095238096,0.8092646691958965,0.5080280112044818
gradient_boosting,binaria,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.5121951219512195, 'recall': 0.105, 'f1-score': 0.17427385892116182, 'support': 200.0}, 'No': {'precision': 0.7283763277693475, 'recall': 0.96, 'f1-score': 0.8283002588438308, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6202857248602835, 'recall': 0.5325, 'f1-score': 0.5012870588824964, 'support': 700.0}, 'weighted avg': {'precision': 0.666610268964168, 'recall': 0.7157142857142857, 'f1-score': 0.6414355731516397, 'support': 700.0}}",0.7157142857142857,0.5012870588824964,0.6202857248602835,0.5325,0.6414355731516397,[0.49991644 0.48901259 0.47740639 0.48384831 0.47215601],0.48446794899630297,0.009603573190591592,0.7276190476190476,0.7286027436897303,0.5302772457820338
gradient_boosting,tfidf,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.45652173913043476, 'recall': 0.105, 'f1-score': 0.17073170731707318, 'support': 200.0}, 'No': {'precision': 0.7262996941896025, 'recall': 0.95, 'f1-score': 0.8232235701906413, 'support': 500.0}, 'accuracy': 0.7085714285714285, 'macro avg': {'precision': 0.5914107166600187, 'recall': 0.5275, 'f1-score': 0.49697763875385725, 'support': 700.0}, 'weighted avg': {'precision': 0.6492202784584117, 'recall': 0.7085714285714285, 'f1-score': 0.6367973236553361, 'support': 700.0}}",0.7085714285714285,0.49697763875385725,0.5914107166600187,0.5275,0.6367973236553361,[0.5072214  0.5373913  0.48874521 0.50285714 0.48169478],0.5035819662187071,0.0192666581946822,0.72,0.6404106911819387,0.5350128656113607
gradient_boosting,frecuencia,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.475, 'recall': 0.095, 'f1-score': 0.15833333333333333, 'support': 200.0}, 'No': {'precision': 0.7257575757575757, 'recall': 0.958, 'f1-score': 0.8258620689655173, 'support': 500.0}, 'accuracy': 0.7114285714285714, 'macro avg': {'precision': 0.6003787878787878, 'recall': 0.5265, 'f1-score': 0.4920977011494253, 'support': 700.0}, 'weighted avg': {'precision': 0.6541125541125541, 'recall': 0.7114285714285714, 'f1-score': 0.6351395730706076, 'support': 700.0}}",0.7114285714285714,0.4920977011494253,0.6003787878787878,0.5265,0.6351395730706076,[0.51443082 0.48125677 0.47740639 0.48384831 0.47215601],0.4858196610078706,0.014837674813139514,0.7280952380952381,0.7304423578231339,0.5311105791153671
logistic_regression,binaria,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.5555555555555556, 'recall': 0.075, 'f1-score': 0.13215859030837004, 'support': 200.0}, 'No': {'precision': 0.725111441307578, 'recall': 0.976, 'f1-score': 0.8320545609548167, 'support': 500.0}, 'accuracy': 0.7185714285714285, 'macro avg': {'precision': 0.6403334984315667, 'recall': 0.5255, 'f1-score': 0.48210657563159337, 'support': 700.0}, 'weighted avg': {'precision': 0.6766669025212858, 'recall': 0.7185714285714285, 'f1-score': 0.6320842836272605, 'support': 700.0}}",0.7185714285714285,0.48210657563159337,0.6403334984315667,0.5255,0.6320842836272605,[0.45732239 0.43422074 0.4332755  0.43516592 0.43422074],0.4388410600004738,0.009259982947398174,0.7195238095238096,0.764341856681366,0.5095291186241939
random_forest,tfidf,"(2, 2)",{'n_estimators': 100},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.4838709677419355, 'recall': 0.075, 'f1-score': 0.12987012987012986, 'support': 200.0}, 'No': {'precision': 0.7234678624813154, 'recall': 0.968, 'f1-score': 0.8280581693755347, 'support': 500.0}, 'accuracy': 0.7128571428571429, 'macro avg': {'precision': 0.6036694151116255, 'recall': 0.5215, 'f1-score': 0.4789641496228323, 'support': 700.0}, 'weighted avg': {'precision': 0.6550116068414926, 'recall': 0.7128571428571429, 'f1-score': 0.6285758723739904, 'support': 700.0}}",0.7128571428571429,0.4789641496228323,0.6036694151116255,0.5215,0.6285758723739904,[0.47215601 0.46541433 0.44179131 0.44911298 0.43776334],0.4532475947630756,0.013369077107775032,0.719047619047619,0.6710514313519619,0.5142256530519185
svc,binaria,"(2, 2)","{'kernel': 'linear', 'C': 1.0}",Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.46875, 'recall': 0.075, 'f1-score': 0.12931034482758622, 'support': 200.0}, 'No': {'precision': 0.7230538922155688, 'recall': 0.966, 'f1-score': 0.827054794520548, 'support': 500.0}, 'accuracy': 0.7114285714285714, 'macro avg': {'precision': 0.5959019461077844, 'recall': 0.5205, 'f1-score': 0.4781825696740671, 'support': 700.0}, 'weighted avg': {'precision': 0.6503956372968348, 'recall': 0.7114285714285714, 'f1-score': 0.627699237465416, 'support': 700.0}}",0.7114285714285714,0.4781825696740671,0.5959019461077844,0.5205,0.627699237465416,[0.48633961 0.47996856 0.51292604 0.47740639 0.48236965],0.48780204961780305,0.012901919868760305,0.7247619047619047,0.6844880592414468,0.5303012181616833
logistic_regression,frecuencia,"(2, 2)",{'max_iter': 200},Tokenizacion + Stopwords + Lematizacion,RandomOverSampler,"{'Clickbait': {'precision': 0.5185185185185185, 'recall': 0.07, 'f1-score': 0.12334801762114538, 'support': 200.0}, 'No': {'precision': 0.7236255572065379, 'recall': 0.974, 'f1-score': 0.8303495311167945, 'support': 500.0}, 'accuracy': 0.7157142857142857, 'macro avg': {'precision': 0.6210720378625282, 'recall': 0.522, 'f1-score': 0.47684877436896994, 'support': 700.0}, 'weighted avg': {'precision': 0.6650235461528181, 'recall': 0.7157142857142857, 'f1-score': 0.6283490986894662, 'support': 700.0}}",0.7157142857142857,0.47684877436896994,0.6210720378625282,0.522,0.6283490986894662,[0.45732239 0.43422074 0.45018182 0.43516592 0.44179131],0.4437364373916323,0.008875887046711984,0.7204761904761905,0.7714598249573477,0.511703895511693
