text,hate_speech
CHAMO es palabra venezolana llevada partes mundo venezolanos ofende palabra sea laksjskakakkakajsjsakkakakakajsjsjsakkaakjshssjaka VenecosSiendoVenecos,0
Mentira no estén Ecuador sacando YouTube Venezuela,0
Hoy tuve mañana muy fructífera satisfactoria Estuve mentora ciberseguridad grupo mujeres refugiadas emprendedoras Gracias grandiosa oportunidad,0
No venecos robando cobrando vandalizar,1
Hoy es junio Día Mundial Refugiado quiero agradecer gobierno ecuatoriano cancilleria promesas nunca cumplieron refugiados no son seres humanos fin,0
AQUÍ SÓLO HAY SUJETO CLÓSET REFUGIADO ÁTICO ES JEFE IZA,0
Hoy es DíadelRefugiado Médicos Fronteras somos testigos padecer cientos miles personas desplazadas refugiadas solicitantes asilo migrantes mundo,0
Manja rola chama,0
gestión conocimiento también aportamos reconocimiento refugiados migrantes ConLosRefugiados,0
Hay razones hoy DiaDelRefugiado es importante cuenta,0
gonorrea malparido tapicero veneco tiene amenazada mamá,1
Alejandra Carmen son dos mujeres refugiadas unieron compartir poema mundo expresan sentimientos anhelos esperanzas miedos Muestra solidaridad personas ForzadasAHuir amplificando mensaje,0
venecos están dando seguridad manifestantes detrás camioneta están motorizados,1
Hoy conmemoramos Día Mundial Refugiado designado ONU honrar fortalecer personas refugiadas desplazadas mundo han visto obligadas abandonar hogar escapando conflictos persecuciones,0
Señor reactivar relaciones traerá bienestar colombianos especial frontera derecho generará mismo venezolanos cuesta tanto entender No cabe cabeza,0
Feliz tarde talento jóvenes venezolanos recorre mundo comparto Chile Fete SINODPC,0
venecos nunca dejan figurar elección mundo Hahaha,1
nuevo presidente Colombia Gustavo Petro anunció acercamiento gobierno Nicolás Maduro hablar fronteras derechos humanos,0
Bien dicho gustaría presidente Lasso acoja pedido pueblo ecuatoriano relación extranjeros indocumentados causa criminalidad protestas país,1
no es periodista escribió venezolanas dejarán parir final dice Francia no entendió es decir no ofrece disculpas expresó mal culpa es ser tan bruto no entender no note xenofobia racismo,0
Así Maria Isabel hay mujeres refugiadas buscan ser independientes través emprendimientos UnidosPaLante DíaMundialDeLosRefugiados requieres orientación haz clic aquí,0
haces no has mandado videos chamo Pensé éramos amigos Jajajajaja,0
Sidor es venezolana Estás dando dato suelto contexto Confundes así no llega lado Obviamente empresas venezolanas van estar ruina sanciones No defiendo maduro es corrupto ya no estaría no hubiera sanciones,0
Venezuela también pidieron no compartían amor Chávez fueran país hoy alrededor siete millones venezolanos hacen parte diáspora rebusca pedazo pan mundo,0
No es así dinero chamos queda acá ganan dólar mandan Venezuela está dolarizada claro sobreviven gran república bolivariana cosa es no querer darse cuenta,0
mejor ya dijeron Veneco HDP,1
muy huevon quiere legalizar ratas Venezolanas encuentran delinquiendo,1
narcotirania chavista tiene material hacer pasaportes terroristas iraníes venezolanos deben esperar más meses,1
mundo hay más refugiados desplazados nunca mitad son niñas niños han dejado atrás más años World Vision ha estado allí niñas niños vidas cambian EnUnInstante DiaDelRefugiado,0
Deberían pedir visa venezolanos regular ingreso hace años no requerían también colombianos migraron Venezuela,0
éxodo Venezuela también es cambio climático cambio gobierno,0
Más ucranianos ya han tramitado Andalucía protección temporal refugiados,0
Ecuador es único país mundo botan producción lechera agrícola serviría alimentar miles familias venezolanas viven indigencia,0
Ser inmigrante indocumentado es sinónimo muerte tiempos,0
venecos así viendo pudimos sacar gobierno lleva años amañado no han podido Maduro xd,0
Derechos refugiados Derechos humanos respeto personas vieron ForzadasAHuir no es opcional puede negociar,0
mujeres niñas refugiadas deben ser protegidas manipulación abuso explotación carácter sexual físico así discriminación sexual suministro bienes DíadelasPersonasRefugiadas,0
Colombia no es Venezuela Nicaragua Perú Chile sí estamos acuerdo Colombia podría llegar ser Peor sociocomunismo más radical Latinoamérica Cuidado acuerdo nacional podría ser mayor trampa historia,0
nuevo presidente Colombia va acogerlos hay guardarlos deporten VENECOS CUBANOS malandros pagados narcoterrorismo marcado país década robada,1
Pablito era hincha DIM veneco bruto errante,1
Veneco hpta,1
Largo aquí veneco hp,1
disculpan no puedo creer religión pasan cosas así silencian ahora pasa Venezuela países disque Patria Grande,0
Calla veneco tonto inútil asalariado,1
Expúlsenlos papeles trabajo deambulas calles,1
Venezuela culpa está así VENECO asqueroso,1
olvidó mencionar ya unieron siempre estuvieron presentes cabecillas barriales famosas CDR Comités Defensa Revolución formaron década Correista más puro estilo Cubano Venezolano ojo entrenamiento incluído no es invento,0
sea sea sea persona tiene derecho buscar protección hoy conmemora DíaDelRefugiado fecha designada honrar visibilizar situación personas refugiadas desplazadas mundo,0
Solo cosas es persona nefasta política peruana denuncias corrupción colombia eligio presidente cumpla pueblo no copie modelos socialistas vecino Venezuela,0
No debes opinar no eres ecuatoriano eres chamo mas Ecuador Boscan,1
Ecuador son indigenas más venecos guerrillas urbanas femilocas entonces estás mal No más subsidios Iza no manda sinó pueblo pueblo eligió presidente IzaTerroristaCorreaFinancista,1
Imaginate no tener derecho identidad país imaginate no tenerlo país distinto tuyo es ha hecho chavismo negarnos derecho identidad estes estes es maldición ser venezolano eres paria,0
No seremos Venezuela Cuba No constituyente,0
Aca peru monton venecis viven sabroso pidiendo dinero cochecito bebe crios años cochecito bien apretaditos saben hacer Venecos peruano saca ñoña no pidiendo nadiecomo hacen vagos,1
acuerdan escribió asquerosa columna venezolanas Bien fin dejó sitio Te adoro,0
serio diplomático comprar comida país malandro Quinta saqueo arcas venezolanas grupito sabe vivía antes era madurista tiene ahora Comida dólares cobrada Así no Asco,0
último tweet noche Cabe recordar primera punzada muy probable estrella Nacional dio Rafael Dudamel horripilante Palmaseca día perdía iba Arriero Piscis Pacho bueno chamo ayudo,0
Chama sí obligada dra principio fue mejor mejor volvería usar mil veces,0
personas refugiadas también tienen sueños esperanzas video Tatiana habla gustaría hacer Junto padre hermana vio obligada huir Colombia después sufrir amenazas no frena ganas vivir SoyHumano SoyHumana,0
hice nipples primer nostril cagada pregunté chamo había desmayado antes Uuuy montón gente bueno ya estaba predispuesta caer templinche,0
No mamá es bien decente talvez comparados Venezuela somos paraíso no estarían país son buenos punto es trochas pasan delincuentes papeles nombre robar matar hacer daños,1
Pese estar mes mundial refugiado migrante personas situación no retorno conmemorar atroces imágenes,0
yA sOmOs kOmo VeneSueLa,0
Tremendo discurso papel mamá Dilan antanas gente gritaba pudo no más guerra Dios dé sabiduría afrontar problemas sociales políticos económicos fin,0
creo final descubriremos man es venezolano,1
recomiendo comprender lectura tweet siempre he apoyado venezolanos Caramba Tampoco ayudan,0
Oro Perú esgrima peruano Lucas Lutar venció venezolano Antonio Leal competencia florete Así fue final enfrentamiento,0
Empezó cambio ya bandidos calles Petro posesionarse ya está violando división poderes río clase política fue menos año da patada pone sostener dictadura venezolana,0
mujeres niñas refugiadas deben ser protegidas manipulación abuso explotación carácter sexual físico así discriminación sexual suministro bienes DiaDeLasPersonasRefugiadas,0
Refugiado Universidad Salesiana Quito Gonzalo Ulcuando oriundo Cayambe Cangahua comenta recorrido ha debido realizar llegar capital razones sumarse,0
Es chamo más sortario Vzla pusieron presid AN no habia mas reconoce EEUU no mandan marines asignan recursos creía fin estaba cerca sigue reconociendo Biden solo está esperando digan Chao,0
DíaDelRefugiado llevamos delicioso almuerzo compartir personas refugiadas comunidad San Martín Porres plato estrella fue duda Pabellón Criollo,0
Sabía Bolivar fue calificado época guerrillero bandolero Sabía orígenes ejército remontan cuadrilla forajidos refugiada llanos casanare,0
año más conmemoración seguimos gran deuda social refugiados Ecuador año denominado sea sea sea persona tiene derecho buscar protección DíaDelRefugio Migraciones CiudadaníaUniversal integración,0
Estamos contigo momentos difíciles Cuidando salud personas refugiadas sociedad estamos atendiendo teléfono cita previa casos urgentes necesitas ayuda llama escríbenos número más cercano lugar estés,0
Autoridades venezolanas alerta onda tropical podría convertirse tormenta afectar costas país,0
Quién entiende Votante Sudamericano Hemos sido invadidos Desplazados Venezolanos gobernados Narco Dictadura Castro Chavismo DDHH Básicos Miseria pides Libertad Sentenciados Protestas así Lula Sentenciado puede ganar,0
Emprendedora Venezolana Colombia invito participar evento comunidad mujeres venezolanas mundo,0
bueno ya paso paso unico queda es aceptar derrota esperar plan gobierno inviable pueda menos dejar frutos mejor escenario contrario preparanse ser nuevos chamos jajajajaja,0
Mca Chama da muy mala espina,0
Especialmente Ya cree HIJUEPUTAS vendidos poder,0
Creería relación población deben ser menores venezolanas no creo sea ahí,0
Chamo noo,0
Ucrania Venezuela multiplica cifra refugiados través,0
ahí están indefensos venecos,1
desafiliación dice va profunda tristeza Cristina Reyes va sondeos opinión no figura cantante grupo unió Cinthya Viteri no es afiliada PSC hace años goza estatus refugiada Madera Guerrero,0
menos cuerpos migrantes documentos fueron encontrados camión remolque San Antonio Texas informó ABC News citando fuentes personas cuatro niños fueron trasladadas hospitales zona síntomas deshidratación Sputnik,0
estoy acordando Venezuela hacían megas colas Saime Caracas siempre habían personas vestidas tiempos Jesús más vio,0
Claro es Venezuela,0
Tu tambien eres venecos dicen haiga editor nacional digital entrevista portal paraco especialista economia pobre hp pelo cobre estupido sonlos escuacas,1
Vicepresidente papel crisis política,0
hizo hace aún hoy día oposición venezolana,0
Buenas noticias pueblo malas Veneco,0
Calla veneco mierda,1
Vienen hacer aquí Ecuador país no pudieron así defiende pueblo chamos aprendan,0
Alejandro Vargas Coordinador Técnico Calidad fue entrevistado explicar situación socioeconómica población refugiada migrante venezolana Lima Metropolitana Escucha entrevista,0
hablo Peruanos asuuu chama ya Perú No pierdes acento jejeje tengo amiga venezolana ke habla tu dice mamaguebo día jejejejeje jejeje jejejeje Venezolanos estás hablando peruano Ridikula,0
Amigues Venecos no estoy apoyando partido Colombia cabeza tengo pensar no pongan palabras boca no he dicho besos,0
Gustavo Petro comunica Gobierno venezolano intención reabrir frontera través,0
Asamblea General NNUU designó partir año sea Día Mundial Refugiados tiene objetivo hacer llamado gobiernos adopten enfoque basado empatía reconocimiento derechos refugiados,0
Colombia petróleo tiene Venezuela fuerzas armadas amigas legislativo mayoría Petro Tres simples detalles modelo venezolano no aplique acá cosas tuvo Chávez ver vez acaban cuento,0
ve no sirvió ejemplo Venezolano años corrupción banda narcodelictiva correista fin tal vez deben probar primera mano miseria es capaz atraer izquierda,0
Amix ya no quiero ser prima exótica blanques familia olvidaron fueron país papeles buscar mejor futuro,0
Yyyyyyyyyy premio rebuzno destacado día es paraaaaaaaa,0
Parece puteada dio ministro hizo cambiar opinión chamo vergüenza ajena posta,0
Venezuela chamo Venezuela,0
Holas chamas,0
cierre decretado maduro fue muy grave Pará luego expulsar colombianos Táchira luego profudizar decidía país provocó salida compatriotas venezolanos,0
no largas Colombia regreso Venezuela compatriotas aquí solo vienen robar delinquir Sobran ustedes venecos va echar menos,1
marco Día Mundial Refugiado une consigna persona tiene derecho buscar protección DíaDelRefugiado G,0
manera es respuesta malas administraciones anteriores pésima duque conozco pais socialistas Rumania cuba mas cerca Venezuela democracias es escalera suben gobiernos poder luego tiran abajo,0
último siglo ha perdido mayoría guerras directas entran vemos utilizan terceros objetivos Libia Siria Ucrania Venezuela Nicaragua Cuba etc países utilizan proxis actividades subversión KOBA,0
dios mio chama échele cabeza es demasiado demasiado izquierda ahora encanta más,0
tipejo tan limitado solo puede haber salido Teleamazonas,0
productos no pasarán Aduana así llegarán vía terrestre papeles origen garantía más perjuicio estado país indígenas responsables son líderes indígenas propician violencia,0
deberían saber realmente fue Simón Bolívar estuvo soldados ecuatorianos estaban guerra Conociendo verdad Bolívar acabará idealización venezolano historia es muy diferente contó,0
Q increíble tenía menos futuro refugiado Siria,0
ejemplo semana pasa está regreso trabajo quise pasar parte estaban quemando llantas antes punto acercaron dos tipos voz venezolano dijo no daba plata pinchaba llantas,1
eres veneco,1
aqui Venezolanos delincuentes disfrasados refugiados indocumentados están cobrando dólares infiltrados ocacionando caos cobran peaje dejar pasar autos deroguen huevada regularización,1
oposición venezolana importan PetroVideos Respetuosamente aconsejo hermano venezolano busquen solución conflictos país no exterior cambio es positivo democracia evita totalitarismo,1
asi empezo venezuela chamo jajaja gente no cansa discurso refrito mismo dijeron gano amlo mexico boric chile jaja,0
tiene calidad tuyo son monos saltando,0
DíaMundialDeLosRefugiados derechos niñez migrante refugiada están permanentemente riesgo condición movilidad NoEsCuento debemos unirnos protección niños niñas adolescentes migrantes refugiados ProtecciónYA,0
no dejas ver pue chama,0
Ud está refugiado corrupto Cuanta doble moral compañerito,0
seguidores gobierno solo lloran víctimas mas tremendas novela venezolana,0
año DíaMundialDeLasPersonasRefugiadas toca aún más cerca cabe ayudas personas refugiadas ven obligadas abandonar hogar Puedes conocer proyectos específicos aquí MarcarLaXesLoNormal,0
Eran Venezolanos están aprovechando situación país delinquir,1
Es mejor no puede enfrentar Pueblo pueblo actúen infiltrados Venezolanos delincuentes disfrasados refugiados indocumentados cobrando peaje delinquiendo,1
Claro Petro recordaba migración venezolanos debía cambio climático petróleo Obviamente no sistema político modelo va replicar acá,0
Refugiados están situación peligro inminente momento cierras vía violan derecho viene autoridades control abrirla pones resistencia utiliza violencia no permitirlo estan permitiendo haga uso fuerza peligren vidas,0
Así es trabajé Cúcuta tema inmigrantes venezolanos casi tres años dices es totalmente cierto acá cuento Revista Semana es desinformar bombardear cosa diga sí es situación allá payasos,0
No puede construir NADA resentimiento venganza sabemos bien venezolanos,0
Es autora paren parir mujeres venezolanas Colombia,0
Debería ser así correa NO es refugiado político es garrapata perro solo hace daño absorbe nutrientes pueblo dio poder supo mantener ahora quiera destruirlo más dejó,0
aquí más veneco debe ser bien investigado menor indicio deportarlos patadas,1
Resistan hermanos demócratas ecuatorianos comunistas manipulan comunidades indígenas intereses váyanse vivir Cuba Venezuela Allá disfrutarán comunismo,0
Chuzooo turro turro Venezuela querida,0
DiaMundialDeLosRefugiados Recordamos personas mundo tienen derecho buscar protección importar sean provengan hayan tenido huir honrando hoy personas refugiadas desplazadas mundo,0
chamo,0
hpta cree parecemos venecos lea malparido historia todavía sigue cabeza culo puede ir mierda quiera hpts colombianos puros berracos no corremos afrontamos frente alto seguimos luchando así caguemos,1
VENECO,1
Fernando creo ya estás grande sabes discernir banalidad posesión necesidad pueblo venezolano empobrecido precarizado Empecemos hablar mejores formas reactivar frontera consecuencias dos Estados,0
Sii sea creo va preferencia había hecho test di hecho principio daba dudoso luego sentí más luego test dio DIOS LIO siento chama horóscopos aterrador,0
favor ayúdenme tengo febrero esperando PPT tengo años Pep ahora no siquiera tengo aprobado ppt osea es más fácil dejar indocumentado darles documentos recién llegan,0
pausa recordarles hoy es Diamundialdelrefugiado Ecuador es país acogida entrevista director Acnur país habla situación refugiados,0
enero personas nacionalidad venezolana requieren visa ingresar territorio mexicano calidad visitantes SomosFronteraViva,0
Noticias Solo Gobierno venezolano tuvo acceso contenido llamadas mensajes texto metadatos millones cuentas accesos operadora privada Movistar,0
Refugiados climáticos verdadera catástrofe ambiental DW Documental través,0
JAJAJAAJ CONCHUDO CORREA MEJOR NO TE QUEDAS VENEZUELA XDD YA BASTANTE DAÑO HAS HECHO PAISES TUYO PROPIO DEJA JODER,0
Comparto celebración conmemoración día refugiado Brindemos apoyo seamos solidarios,0
Regularizar delincuencia Venecos protegidos quieren atentar jefe,1
especulación servicios básicos Venezuela está desatada bujías correa lavadora más timer nevera más Cambiar kit WC Mantenimiento aire acondicionado ven cara gente,0
puedo hacer documentos vehículo vía requiere agente tránsito PetroBastaYa petropresidente NuestraPrioridadEs DePetroEspero PetroNecesita,0
quedé papeles documentos última vez enamoré,0
Colombia ostenta primer lugar país receptor población venezolana ocupa undécimo lugar reconocimientos condición refugiado,0
sea Uribe reunía Chavez era socialdemócrata proponía gran alianza binacional Petróleo era socialdemócrata Ahora EEUU plantea comprar petróleo venezolano no es tan comunista raras socialdemocracias conveniencia,0
Investigación Gladys María Gutiérrez Alvarado autoridades gobierno chavista visitaron Centro Formación Hombre Nuevo Simón Bolívar mejor conocido antiguo nombre Planta SomosFronteraViva,0
es digo venecos son estúpidos naturaleza,1
Chamo déjanos paz,1
Chamo deja drogas,1
OperativoSunat Ayacucho Fiscalizadores InsumosQuímicos intervinieron IQ documentos sustenten traslado Comisando cloruro sodio thinner lejía cemento t Insumos pueden ser usados elaboración drogas ilícitas,0
dentro misión solidaria salvar vidas colaboró gran cantidad medicamentos insumos médicos entregó personal médico presta contingente atención personas refugiadas lugar,0
sanciones son particulares hecho USA sigue siendo cliente principal Venezuela cuanto petróleo paga diariamente dinero concepto dinero entra arcas estado importaciones venezolanas insumos bienes son,0
ConLosRefugiados Ecuador reporta refugiados solicitantes asilo Acnur,0
Es lamentable pasó mamá no debió pasar es injusto tratar manera tan baja Alcaldesa no devolverá pertenecías robadas culparla migración venezolanos es solo sandeces sabemos razón migración venezolana,0
chimba siente Hacer amor quede Tu ere papeles así cero corazones rotos,0
quedaste vestido alborotado churos hechos hicieron agua helados indocumentados tratando decidir pueblo ya cansan,1
Repudiamos actos vandalicos responsabilizamos Bélgica refugiado no respetar cumplir leyes internacionales asisten negociaciones paz velarán bien ecuatorianos reparación económica inmediata,0
Hoy celebramos Día Mundial Personas Refugiadas semana tenemos repleta actividades Andalucía DiaMundialDeLosRefugiados WorldRefugeeDay SIGUE HILO,0
Salen Venecos llena Panamá,1
MIGRANTES AFRICANOS MUEREN FRONTERA ESPAÑA INTERNACIONAL menos refugiados africanos murieron fueron asesinados fuerzas orden intentaban ingresar Melilla ciudad autónoma española ubicada frontera Marruecos,0
Tu eres mio papeles,0
imagino gobierno venezolano haciendo santería Petro gane van tener relación muy hermosa,0
Marico malditos venecos trabajan local norte ciudad venden productos son sumamente costosos dejan buen profit quieren pagarle mes empleados vividores asquerosos,1
ACNUR más millones personas mundo han visto obligadas huir hogares hay millones personas refugiadas más mitad menores años Hoy es díamundialdelrefugiado podemos hacer,0
Abre fronteras conviene amigos chavistas venezolanos son van vivir sabroso Colombia son pobres Colombia van seguir siendo pobres van tener competir Venecos empleo,1
Ponte poncho rojo así hacen chamos,0
Sino tiene bocadillo es plato venezolana colombiana bocadillo es Colombiana lastima perdiste,0
Siiiii jajaja pasa veo paisano habla soy modo Dios mio ya puedo decir chama,0
DíaMundialPersonasRefugiadas Cruz Roja es apoya personas refugiadas solicitantes asilo hace más años formando parte Sistema Estatal Acogida sea sea sea persona tiene derecho buscar seguridad,0
realizó lanzamiento Más Cerca Derechos acercando derecho personas migrantes refugiadas retornadas consorcio,0
Oiga chamo espero Perú,0
menos venezolanos no eran Lastima inhumano traficante es no no animales comportan así,0
Estamos ubicados hablamos delincuencia común no narcotráfico ya toca tema venezolanos barrio antioquia ahora son manejan plazas microtafico Será evolucionaron quizás invente no puede probar,1
Millones votamos Petro esperamos estar bien representados oposición oposición Colombiana debe marcar diferencia Venezolana no dividirse es garantía años recuperar país,0
Jajajaja está señora es cuento No deseó peor queda volverse venezolanos mendigar dos años groserías arribista llevará tumba no deseo muerte vamos allá más viejos más cerca,0
Chile allá Venezuela aquí primeros partidos eliminatoria igual fue sólido No joroben Dida fue fundamental asegurar clasificación Colombia Chile ahí ganamos No bajaron Pervis no van bajar Dida llorar parque,0
espero ya canse venezolanas,0
